area,room,age,floor,parking,elevator,warehouse,location_score,price
55,1,12,1,0,0,0,4,3720
60,1,10,2,0,0,0,5,4510
65,2,9,2,1,1,0,5,5920
70,2,8,3,1,1,1,6,6875
75,2,7,2,1,1,1,6,7110
80,2,6,3,1,1,1,7,7845
85,2,5,4,1,1,1,7,8150
90,2,6,2,1,1,1,6,7810
95,2,4,5,1,1,1,8,9100
100,2,3,4,1,1,1,8,9335
105,3,7,2,1,1,1,7,9090
110,3,6,3,1,1,1,8,9825
115,3,5,4,1,1,1,8,10130
120,3,4,5,1,1,1,9,10865
125,3,3,3,1,1,1,9,11065
130,3,2,6,1,1,1,9,11440
135,3,5,2,1,1,1,7,10490
140,3,4,4,1,1,1,8,11260
145,3,3,5,1,1,1,9,11995
150,3,2,6,1,1,1,9,12300
155,3,8,2,1,1,1,6,10755
160,3,7,3,1,1,1,7,11490
165,3,5,4,1,1,1,8,12280
170,3,4,5,1,1,1,9,13015
175,3,3,6,1,1,1,9,13320
180,4,6,2,1,1,1,7,12630
185,4,5,3,1,1,1,8,13365
190,4,4,4,1,1,1,8,13670
195,4,3,5,1,1,1,9,14405
200,4,2,6,1,1,1,9,14710
205,4,5,2,1,1,1,7,13760
210,4,4,3,1,1,1,8,14495
220,4,3,4,1,1,1,9,15445
230,4,2,5,1,1,1,9,15965
240,5,5,2,1,1,1,8,15955
250,5,4,3,1,1,1,9,16905
260,5,3,4,1,1,1,9,17425
270,5,2,5,1,1,1,10,18375
280,5,1,6,1,1,1,10,18895
60,2,15,1,0,0,0,3,3600
72,2,14,2,1,0,1,4,5376
88,2,13,1,1,1,0,5,6654
98,2,11,3,1,1,1,5,7484
108,3,12,2,1,1,1,6,8514
118,3,10,4,1,1,1,7,9554
128,3,9,5,1,1,1,7,10074
138,3,8,6,1,1,1,8,11024
148,3,7,2,1,1,1,8,11369
158,3,6,3,1,1,1,8,11889
168,3,5,4,1,1,1,9,12839
178,4,4,5,1,1,1,9,13619
188,4,8,2,1,1,1,7,12864
198,4,7,3,1,1,1,8,13814
208,4,6,4,1,1,1,8,14334
218,4,5,5,1,1,1,9,15284
228,4,4,6,1,1,1,9,15804
238,5,3,2,1,1,1,9,16409
248,5,2,3,1,1,1,10,17359
258,5,1,4,1,1,1,10,17879
68,2,20,1,0,0,0,3,3669
82,2,18,2,0,1,0,4,5206
96,2,16,3,1,1,1,5,7123
112,3,15,2,1,1,1,6,8521
126,3,14,3,1,1,1,6,9213
142,3,12,4,1,1,1,7,10476
154,3,11,5,1,1,1,7,11082
172,4,10,2,1,1,1,8,12496
186,4,9,3,1,1,1,8,13188
202,4,8,4,1,1,1,9,14396
216,4,7,5,1,1,1,9,15088
232,5,6,6,1,1,1,9,16126
